AP Name,Status,Total user,Availability
CMU_AGR_EDU_AP0981,"up 70d,4h,59m",0,99.23%
CMU_AGR_EDU_AP0982,"up 70d,4h,59m",0,98.92%
CMU_AGR_EDU_AP0983,"up 64d,12h,9m",0,99.23%
CMU_AGR_EDU_AP0984,"up 70d,5h,4m",0,97.84%
CMU_AGR_EDU_AP0985,"up 67d,6h,34m",0,99.16%
CMU_AGR_EDU_AP0986,"up 2d,19h,24m",0,98.17%
CMU_AGR_EDU_AP0987,"up 2d,19h,24m",0,98.21%
CMU_AGR_EDU_AP0988,"up 70d,5h,9m",1,98.40%
CMU_AGR_EDU_AP0989,"up 8d,16h,4m",0,98.69%
CMU_AGR_EDU_AP0990,"up 70d,5h,9m",0,98.17%
CMU_AGR_EDU_AP0991,"up 70d,4h,49m",0,98.29%
CMU_AGR_EDU_AP0992,"up 6d,19h,24m",0,98.27%
CMU_AGR_EDU_AP0993,"up 70d,4h,49m",0,98.56%
CMU_AGR_EDU_AP0994,"up 6d,19h,24m",0,98.27%
CMU_AGR_EDU_AP0995,"up 70d,4h,59m",0,98.91%
CMU_AGR_EDU_AP0996,"up 70d,4h,59m",2,98.65%
CMU_AGR_EDU_AP0997,"up 70d,4h,59m",0,99.18%
CMU_AGR_EDU_AP0998,"up 70d,4h,59m",0,99.14%
CMU_AGR_EDU_AP0999,"up 28d,19h,24m",0,98.95%
CMU_AGR_EDU_AP1000,"up 70d,5h,9m",0,97.29%
CMU_AGR_EDU_AP1001,"up 26d,15h,44m",0,95.09%
CMU_AGR_EDU_AP1002,"up 3d,15h,54m",0,97.28%
CMU_AGR_EDU_AP1003,"up 70d,5h,4m",0,97.38%
CMU_AGR_EDU_AP1004,"up 69d,9h,9m",1,96.33%
CMU_AGR_EDU_AP1005,"up 26d,19h,24m",1,98.21%
CMU_AGR_EDU_AP1006,"up 18d,14h,59m",0,97.71%
CMU_AGR_EDU_AP1007,"up 1d,19h,19m",0,98.06%
CMU_AGR_EDU_AP1008,"up 18d,14h,59m",0,97.98%
CMU_AGR_EDU_AP1009,"up 70d,5h,4m",0,99.10%
CMU_AGR_EDU_AP1010,"up 70d,5h,4m",0,99.09%
CMU_AGR_EDU_AP1011,"up 70d,5h,4m",0,98.98%
CMU_AGR_EDU_AP1012,"up 70d,5h,4m",0,98.91%
CMU_AGR_EDU_AP1013,"up 70d,5h,4m",3,98.82%
CMU_AGR_EDU_AP1014,"up 70d,5h,4m",0,99.09%
CMU_AGR_EDU_AP1015,"up 69d,9h,9m",2,98.02%
CMU_AGR_EDU_AP1016,"up 70d,13h,4m",1,99.07%
CMU_AGR_EDU_AP1017,"up 64d,14h,24m",3,98.99%
CMU_AGR_EDU_AP4719,"up 6d,19h,24m",0,98.50%
CMU_AGR_EDU_AP4720,"up 6d,19h,24m",0,98.48%
CMU_AGR_EDU_AP4721,"ma 120d,9h,47m",0,98.38%
CMU_AGR_EDU_AP4722,"up 6d,19h,24m",0,98.43%
CMU_AGR_EDU_AP4723,"up 70d,4h,59m",0,98.47%
CMU_AGR_EDU_AP4724,"up 6d,19h,24m",0,98.47%
CMU_AGR_EDU_AP4725,"ma 106d,10h,3m",0,99.24%
CMU_AGR_EDU_AP4726,"up 70d,4h,59m",0,99.54%
CMU_AGR_EDU_AP4727,"up 70d,4h,59m",0,99.55%
CMU_AGR_EDU_AP4728,"up 70d,4h,59m",0,99.24%
CMU_AGR_EDU_AP4729,"up 70d,4h,59m",0,99.55%
CMU_AGR_EDU_AP4730,"up 69d,8h,54m",0,99.59%
CMU_AGR_EDU_AP4731,"up 70d,4h,59m",0,99.59%
CMU_AGR_EDU_AP4732,"up 70d,4h,59m",1,99.59%
CMU_AGR_EDU_AP4733,"up 70d,4h,59m",0,99.49%
CMU_AGR_EDU_AP4734,"up 70d,4h,59m",1,99.59%
CMU_AGR_EDU_AP4735,"up 70d,4h,59m",0,99.59%
